sim mode,gamma,epsilon,beta,seed,mean lifetime,
hi,10.0,0.7,3.54107,1,1182,
hi,10.0,0.7,3.54107,2,1133,
hi,10.0,0.7,3.54107,3,1109,
hi,10.0,0.7,3.54107,4,1118,
hi,10.0,0.7,3.54107,5,1133,
hi,10.0,0.7,3.54107,6,1109,
hi,10.0,0.7,3.54107,7,1186,
hi,10.0,0.7,3.54107,8,1070,
hi,10.0,0.7,3.54107,9,1161,
hi,10.0,0.75,1.77588,0,1058,
hi,10.0,0.75,1.77588,1,1133,
hi,10.0,0.75,1.77588,2,1058,
hi,10.0,0.75,1.77588,3,1109,
hi,10.0,0.75,1.77588,4,1084,
hi,10.0,0.75,1.77588,5,1133,
hi,10.0,0.75,1.77588,6,1175,
hi,10.0,0.75,1.77588,7,1192,
hi,10.0,0.75,1.77588,8,1208,
hi,10.0,0.75,1.77588,9,1161,
hi,10.0,0.8,0.93135,0,1058,
hi,10.0,0.8,0.93135,1,1208,
hi,10.0,0.8,0.93135,2,1133,
hi,10.0,0.8,0.93135,3,1175,
hi,10.0,0.8,0.93135,4,1118,
hi,10.0,0.8,0.93135,5,1165,
hi,10.0,0.8,0.93135,6,1208,
hi,10.0,0.8,0.93135,7,1186,
hi,10.0,0.8,0.93135,8,1208,
hi,10.0,0.8,0.93135,9,1161,
hi,10.0,0.85,0.50794,0,1175,
hi,10.0,0.85,0.50794,1,1208,
hi,10.0,0.85,0.50794,2,1182,
hi,10.0,0.85,0.50794,3,1109,
hi,10.0,0.85,0.50794,4,1175,
hi,10.0,0.85,0.50794,5,1133,
hi,10.0,0.85,0.50794,6,1175,
hi,10.0,0.85,0.50794,7,1165,
hi,10.0,0.85,0.50794,8,1175,
hi,10.0,0.85,0.50794,9,1133,
hi,10.0,0.9,0.2868,0,1113,
hi,10.0,0.9,0.2868,1,1208,
hi,10.0,0.9,0.2868,2,1133,
hi,10.0,0.9,0.2868,3,1109,
hi,10.0,0.9,0.2868,4,1175,
hi,10.0,0.9,0.2868,5,1182,
hi,10.0,0.9,0.2868,6,1175,
hi,10.0,0.9,0.2868,7,1186,
hi,10.0,0.9,0.2868,8,1175,
hi,10.0,0.9,0.2868,9,1133,
hi,20.0,0.5,103.09278,0,1175,
hi,20.0,0.5,103.09278,1,1161,
hi,20.0,0.5,103.09278,2,1175,
hi,20.0,0.5,103.09278,3,1208,
hi,20.0,0.5,103.09278,4,1071,
hi,20.0,0.5,103.09278,5,1133,
hi,20.0,0.5,103.09278,6,1208,
hi,20.0,0.5,103.09278,7,1192,
hi,20.0,0.5,103.09278,8,1154,
hi,20.0,0.5,103.09278,9,1208,
hi,20.0,0.6,16.55629,0,1175,
hi,20.0,0.6,16.55629,1,1182,
hi,20.0,0.6,16.55629,2,1175,
hi,20.0,0.6,16.55629,3,1172,
hi,20.0,0.6,16.55629,4,1071,
hi,20.0,0.6,16.55629,5,1133,
hi,20.0,0.6,16.55629,6,1208,
hi,20.0,0.6,16.55629,7,1192,
hi,20.0,0.6,16.55629,8,1154,
hi,20.0,0.6,16.55629,9,1208,
hi,20.0,0.7,3.54107,0,1175,
hi,20.0,0.7,3.54107,1,1208,
hi,20.0,0.7,3.54107,2,1118,
hi,20.0,0.7,3.54107,3,1172,
hi,20.0,0.7,3.54107,4,1175,
hi,20.0,0.7,3.54107,5,1186,
hi,20.0,0.7,3.54107,6,1172,
hi,20.0,0.7,3.54107,7,1186,
hi,20.0,0.7,3.54107,8,1208,
hi,20.0,0.7,3.54107,9,1208,
hi,20.0,0.75,1.77588,0,1175,
hi,20.0,0.75,1.77588,1,1208,
hi,20.0,0.75,1.77588,2,1118,
hi,20.0,0.75,1.77588,3,1172,
hi,20.0,0.75,1.77588,4,1175,
hi,20.0,0.75,1.77588,5,1186,
hi,20.0,0.75,1.77588,6,1172,
hi,20.0,0.75,1.77588,7,1186,
hi,20.0,0.75,1.77588,8,1208,
hi,20.0,0.75,1.77588,9,1182,
hi,20.0,0.8,0.93135,0,1175,
hi,20.0,0.8,0.93135,1,1208,
hi,20.0,0.8,0.93135,2,1182,
hi,20.0,0.8,0.93135,3,1172,
hi,20.0,0.8,0.93135,4,1175,
hi,20.0,0.8,0.93135,5,1186,
hi,20.0,0.8,0.93135,6,1208,
hi,20.0,0.8,0.93135,7,1182,
hi,20.0,0.8,0.93135,8,1208,
hi,20.0,0.8,0.93135,9,1182,
hi,20.0,0.85,0.50794,0,1175,
hi,20.0,0.85,0.50794,1,1208,
hi,20.0,0.85,0.50794,2,1175,
hi,20.0,0.85,0.50794,3,1172,
hi,20.0,0.85,0.50794,4,1175,
hi,20.0,0.85,0.50794,5,1186,
hi,20.0,0.85,0.50794,6,1208,
hi,20.0,0.85,0.50794,7,1172,
hi,20.0,0.85,0.50794,8,1208,
hi,20.0,0.85,0.50794,9,1182,
hi,20.0,0.9,0.2868,0,1175,
hi,20.0,0.9,0.2868,1,1208,
hi,20.0,0.9,0.2868,2,1175,
hi,20.0,0.9,0.2868,3,1172,
