sim mode,gamma,epsilon,beta,seed,mean lifetime,
med,10.0,0.75,1.77588,8,966,
med,10.0,0.75,1.77588,9,954,
med,10.0,0.8,0.93135,0,960,
med,10.0,0.8,0.93135,1,964,
med,10.0,0.8,0.93135,2,962,
med,10.0,0.8,0.93135,3,962,
med,10.0,0.8,0.93135,4,970,
med,10.0,0.8,0.93135,5,960,
med,10.0,0.8,0.93135,6,969,
med,10.0,0.8,0.93135,7,964,
med,10.0,0.8,0.93135,8,970,
med,10.0,0.8,0.93135,9,953,
med,10.0,0.85,0.50794,0,968,
med,10.0,0.85,0.50794,1,960,
med,10.0,0.85,0.50794,2,960,
med,10.0,0.85,0.50794,3,962,
med,10.0,0.85,0.50794,4,960,
med,10.0,0.85,0.50794,5,968,
med,10.0,0.85,0.50794,6,962,
med,10.0,0.85,0.50794,7,971,
med,10.0,0.85,0.50794,8,968,
med,10.0,0.85,0.50794,9,954,
med,10.0,0.9,0.2868,0,969,
med,10.0,0.9,0.2868,1,964,
med,10.0,0.9,0.2868,2,960,
med,10.0,0.9,0.2868,3,970,
med,10.0,0.9,0.2868,4,962,
med,10.0,0.9,0.2868,5,968,
med,10.0,0.9,0.2868,6,970,
med,10.0,0.9,0.2868,7,970,
med,10.0,0.9,0.2868,8,966,
med,10.0,0.9,0.2868,9,953,
med,20.0,0.7,3.54107,0,963,
med,20.0,0.7,3.54107,1,931,
med,20.0,0.7,3.54107,2,968,
med,20.0,0.7,3.54107,3,970,
med,20.0,0.7,3.54107,4,937,
med,20.0,0.7,3.54107,5,953,
med,20.0,0.7,3.54107,6,960,
med,20.0,0.7,3.54107,7,950,
med,20.0,0.7,3.54107,8,969,
med,20.0,0.7,3.54107,9,952,
med,20.0,0.75,1.77588,0,963,
med,20.0,0.75,1.77588,1,965,
med,20.0,0.75,1.77588,2,968,
med,20.0,0.75,1.77588,3,969,
med,20.0,0.75,1.77588,4,919,
med,20.0,0.75,1.77588,5,967,
med,20.0,0.75,1.77588,6,960,
med,20.0,0.75,1.77588,7,946,
med,20.0,0.75,1.77588,8,964,
med,20.0,0.75,1.77588,9,952,
med,20.0,0.8,0.93135,0,969,
med,20.0,0.8,0.93135,1,940,
med,20.0,0.8,0.93135,2,932,
med,20.0,0.8,0.93135,3,969,
med,20.0,0.8,0.93135,4,919,
